assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
1,Video_1.mp4,70,2,2,0.67257446,0.6609767896466552,0
2,Video_1.mp4,70,3,2,0.96996796,0.987843195336305,0
0,Video_1.mp4,71,1,0,0.9377539,0.9936955697952088,0
0,Video_1.mp4,71,1,1,0.572636,0.48668175774979094,0
0,Video_1.mp4,71,1,2,0.5347709,0.3538473263848165,0
1,Video_1.mp4,71,2,1,0.7598761,0.9702801158281668,0
1,Video_1.mp4,71,2,2,0.6072254,0.6225847417681661,0
2,Video_1.mp4,71,3,2,0.9711226,0.9936030571680143,0
0,Video_1.mp4,72,1,0,0.941787,0.993194983832884,0
0,Video_1.mp4,72,1,1,0.57699704,0.5009601687573502,0
0,Video_1.mp4,72,1,2,0.5298451,0.3533037684304161,0
1,Video_1.mp4,72,2,1,0.7933202,0.8850568318396085,0
1,Video_1.mp4,72,2,2,0.65610874,0.7705207749448917,0
2,Video_1.mp4,72,3,2,0.97221273,0.9909322332782441,0
0,Video_1.mp4,73,1,0,0.9458611,0.9914162581361121,0
0,Video_1.mp4,73,1,1,0.5775094,0.48849222944702936,0
0,Video_1.mp4,73,1,2,0.5358051,0.34586517732895605,0
1,Video_1.mp4,73,2,1,0.8028728,0.98515631662292,0
1,Video_1.mp4,73,2,2,0.6552882,0.770926375618417,0
2,Video_1.mp4,73,3,2,0.97324324,0.9761907000091865,0
0,Video_1.mp4,74,1,0,0.9638222,0.9794917385178109,0
0,Video_1.mp4,74,1,1,0.5442358,0.4981169588027907,0
0,Video_1.mp4,74,1,2,0.50710344,0.33530174094373794,0
1,Video_1.mp4,74,2,1,0.8118447,0.9837351249621739,0
1,Video_1.mp4,74,2,2,0.6544851,0.7670620606992175,0
2,Video_1.mp4,74,3,2,0.9742179,0.9931326023261333,0
0,Video_1.mp4,75,1,0,0.95647085,0.989619533335917,0
0,Video_1.mp4,75,1,1,0.5669296,0.49066253909890384,0
